 Майнинг ферма 26 видеокарт,700 000 р.,05_08_2018,/sankt-peterburg/tovary_dlya_kompyutera/mayning_ferma_26_videokart_1546566681
 Майнинг ферма 13 GPU RX470,400 000 р.,05_08_2018,/sankt-peterburg/tovary_dlya_kompyutera/mayning_ferma_13_gpu_rx470_1593453847
 Asus GTX 1070 / Strix / strix-GTX1070-O8G-gaming,28 500 р.,05_08_2018,/sankt-peterburg/tovary_dlya_kompyutera/asus_gtx_1070_strix_strix-gtx1070-o8g-gaming_1600034040
 Майнинг ферма 4 шт GeForce GTX 1060 3GB,100 000 р.,05_08_2018,/sankt-peterburg/tovary_dlya_kompyutera/mayning_ferma_4_sht_geforce_gtx_1060_3gb_1581479297
" Переходники для видеокарт,райзеры,все для майнинга",400 р.,05_08_2018,/sankt-peterburg/tovary_dlya_kompyutera/perehodniki_dlya_videokartrayzeryvse_dlya_mayninga_804708968
 Antminer Asic s9(13.5th) Март,92 000 р.,05_08_2018,/sankt-peterburg/tovary_dlya_kompyutera/antminer_asic_s913.5th_mart_986618418
 Фермы для майнинга разных конфигураций,70 000 р.,05_08_2018,/sankt-peterburg/tovary_dlya_kompyutera/fermy_dlya_mayninga_raznyh_konfiguratsiy_1037161492?slocation=653240
 Ферма для майнинга Radeon RX 580 х 7 шт. 211 Mh/s,179 000 р.,05_08_2018,/sankt-peterburg/tovary_dlya_kompyutera/ferma_dlya_mayninga_radeon_rx_580_h_7_sht._211_mhs_1512423891
 Видеокарта asus RX 470 strix 4GB + гарантия,17 500 р.,05_08_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_asus_rx_470_strix_4gb_garantiya_1622839055
 Видеокарты,200 р.,05_08_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarty_985480978?slocation=653240
 Видеокарта Zotac GeForce GTX 1080 8GB в наличие,44 000 р.,05_08_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_zotac_geforce_gtx_1080_8gb_v_nalichie_1520433814
