" Ферма 480 Mh/s, 12 карт P104-100 серия майнинг"," 
  580 000 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/ferma_480_mhs_12_kart_p104-100_seriya_mayning_1260103947?slocation=653240
 Видеокарта Asus GeForce GTX 1050TI strix," 
  13 000 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_asus_geforce_gtx_1050ti_strix_1700017739
" Antminer Asic s9(13.5Th) Март, Апрель"," 
  99 000 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/antminer_asic_s913.5th_mart_aprel_986618418
 Sapphire RX 570 8 Gb Radeon Nitro+. Видеокарта," 
  23 999 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/sapphire_rx_570_8_gb_radeon_nitro._videokarta_1605324618?slocation=653240
 Видео карты Gigabyte PCI-E GV-NP106D59-6G GTX 1060," 
  120 000 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/video_karty_gigabyte_pci-e_gv-np106d59-6g_gtx_1060_986364837
 Gigabyte GeForce GTX 780," 
  10 000 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/gigabyte_geforce_gtx_780_1068023791
" Переходники для видеокарт,райзеры,все для майнинга"," 
  500 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/perehodniki_dlya_videokartrayzeryvse_dlya_mayninga_804708968
 Nvidia 8800gts," 
  500 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/nvidia_8800gts_1488733172
 Видеокарта," 
  1 000 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_1227977567?slocation=653240
 Gtx 970 evga," 
  12 500 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/gtx_970_evga_1622619919?slocation=653240
 PNY Quadro FX 3800 1 Gb," 
  1 500 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/pny_quadro_fx_3800_1_gb_1685370805
 Видеокарта 4GTX 660," 
  3 500 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_4gtx_660_1258840371
 Gtx 1080 ti," 
  49 000 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/gtx_1080_ti_1082974224
 Майнинг ферма 2* rx580 (8gb)," 
  90 000 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/mayning_ferma_2_rx580_8gb_1127011350
 Gtx 1060 rog Strix ddr5 SAMSUNG 6g," 
  23 300 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/gtx_1060_rog_strix_ddr5_samsung_6g_1067217649
 Gigabyte aorus rx 580 4gb," 
  75 000 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/gigabyte_aorus_rx_580_4gb_1573238919?slocation=653240
" Asus K70AB HD4570 видео, проц. AMD QL-65, DDR-2"," 
  200 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/asus_k70ab_hd4570_video_prots._amd_ql-65_ddr-2_1630114621
 Видеокарта GeForce GTX 1070Ti," 
  38 500 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_geforce_gtx_1070ti_1569885032?slocation=653240
 Майнинг риг 1060*8 (6 gb Palit Dual) SAMSUNG," 
  180 000 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/mayning_rig_10608_6_gb_palit_dual_samsung_1449206903
 Видеокарта asus GeForce GTX 780 на запчасти," 
  3 000 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_asus_geforce_gtx_780_na_zapchasti_1342638397?slocation=653240
 Майнинг ферма 4* RX 480 G1," 
  125 000 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/mayning_ferma_4_rx_480_g1_1616120599
 Видеокарты Gigabyte 1060 3gb windforce," 
  19 500 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarty_gigabyte_1060_3gb_windforce_1312696840?slocation=653240
 Видеокарта Radeon RX 560 4G," 
  9 000 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_radeon_rx_560_4g_1669838681?slocation=653240
 MSI GTX 1080," 
  42 000 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/msi_gtx_1080_1617169773?slocation=653240
 Ферма Gigabyte Aorus RX 580," 
  90 000 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/ferma_gigabyte_aorus_rx_580_1520523470
 Видеокарта Radeon RX 570 4 G asus Expedition," 
  20 000 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_radeon_rx_570_4_g_asus_expedition_1439150243?slocation=653240
 Платы видеозахвата TinyVN4 Pro2," 
  500 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/platy_videozahvata_tinyvn4_pro2_623871251
 Gigabyte GV-R955128D AGP (ATI Radeon 9550 VPU)," 
  350 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/gigabyte_gv-r955128d_agp_ati_radeon_9550_vpu_1081014076
 Майнинг Ферма 6x1060 146 mhs," 
  130 000 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/mayning_ferma_6x1060_146_mhs_1125376060
 Asus Rog Strix RX580 8 gb SAMSUNG," 
  25 000 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/asus_rog_strix_rx580_8_gb_samsung_1505381752
" Видеокарты gigabyte gtx 1060, 3gb"," 
  18 000 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarty_gigabyte_gtx_1060_3gb_1186161806
 Asus Strix 560 4g," 
  10 000 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/asus_strix_560_4g_1218815076?slocation=653240
 Sapphire Radeon HD 7950 Dual-X на разборку," 
  4 500 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/sapphire_radeon_hd_7950_dual-x_na_razborku_1690184844?slocation=653240
 Gigabyte GTX 1060 G1 Gaming 6Gb (rev.2.0)," 
  23 000 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/gigabyte_gtx_1060_g1_gaming_6gb_rev.2.0_1412448828
 GA Gtx 650 2gb," 
  2 500 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/ga_gtx_650_2gb_1607121427
 Видеокарта Radeon 9200SE 64MB DDR TVout," 
  300 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_radeon_9200se_64mb_ddr_tvout_748890096
" Видеокарта VGA, DVI, TV-out"," 
  200 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_vga_dvi_tv-out_1348960638?slocation=653240
 Видеокарта nvideo Quadro," 
  1 000 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_nvideo_quadro_1261123941?slocation=653240
 Видеокарта," 
  17 000 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_1475967260?slocation=653240
 Райзер," 
  250 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/rayzer_1354021106
 Нерабочая Gigabyte GeForce GTX 1080 Ti," 
  17 000 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/nerabochaya_gigabyte_geforce_gtx_1080_ti_1406259077?slocation=653240
 Видеокарта 1 гб 550 ti," 
  1 990 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_1_gb_550_ti_1568011728
" Старые видеокарты AGP, PCI, PCI-e"," 
Бесплатно
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/starye_videokarty_agp_pci_pci-e_935487668
 Видеокарта nvidia GeForce GTX 750 TI 2 гб," 
  6 000 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_nvidia_geforce_gtx_750_ti_2_gb_1430976637?slocation=653240
 R7 360 2G D5," 
  4 000 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/r7_360_2g_d5_1663747555
 Asus R9 270 2gb," 
  7 000 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/asus_r9_270_2gb_979926050
 Новая майнинг ферма 24шт RX580 720mh на Etherium," 
  695 000 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/novaya_mayning_ferma_24sht_rx580_720mh_na_etherium_1006775001
 Видеокарта," 
  360 000 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_1504606570
 Видеокарта," 
  100 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/videokarta_1334809280?slocation=653240
" Рейзер(Riser) ver.008s. SATA, 6pin, Molex"," 
  600 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/reyzerriser_ver.008s._sata_6pin_molex_1658421077?slocation=653240
 Майнинг ферма (1060x4)," 
  110 000 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/mayning_ferma_1060x4_1391254069?slocation=653240
 Zotac GTX760 2GB gddr5," 
  4 000 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/zotac_gtx760_2gb_gddr5_1124305667?slocation=653240
 Майнинг ферма 8 nvidia 1060 6gb," 
  200 000 р.  
 ",04_25_2018,/sankt-peterburg/tovary_dlya_kompyutera/mayning_ferma_8_nvidia_1060_6gb_1720958037
